Category*,End Date*,Purpose*,Start Date*,Start*,Stop*,Miles*
Personal,26-02-2016 15:18:00,,26-02-2016 15:00:00,Westpark Place,Hazelwood,4.2
Personal,26-02-2016 17:12:00,,26-02-2016 17:01:00,Hazelwood,Whitebridge,2
Business,28-02-2016 05:38:00,Meeting,28-02-2016 05:22:00,Whitebridge,Waverly Place,7.7
Business,28-02-2016 09:42:00,Meeting,28-02-2016 09:26:00,Waverly Place,Whitebridge,6.8
Personal,29-02-2016 11:14:00,,29-02-2016 11:07:00,Whitebridge,Westpark Place,2.1
Business,29-02-2016 11:40:00,Meeting,29-02-2016 11:30:00,Cary,Apex,3.8
Business,29-02-2016 12:48:00,Meeting,29-02-2016 12:36:00,Apex,Cary,5.6
Business,29-02-2016 15:03:00,,29-02-2016 14:55:00,Whitebridge,Hazelwood,2.6
Business,29-02-2016 17:00:00,Customer Visit,29-02-2016 16:40:00,Hazelwood,Whitebridge,6.6
Business,01-03-2016 19:10:00,Meal/Entertain,01-03-2016 18:47:00,Whitebridge,Wayne Ridge,8
Business,01-03-2016 21:45:00,Meeting,01-03-2016 21:27:00,Wayne Ridge,Whitebridge,8
Personal,03-03-2016 09:52:00,,03-03-2016 09:45:00,Whitebridge,Westpark Place,2.2
Business,03-03-2016 11:10:00,Errand/Supplies,03-03-2016 11:04:00,Westpark Place,Whitebridge,2.3
Business,03-03-2016 14:58:00,Meal/Entertain,03-03-2016 14:44:00,Whitebridge,Northwoods,5.2
Business,03-03-2016 15:48:00,Customer Visit,03-03-2016 15:27:00,Cary,Raleigh,7.6
Business,03-03-2016 16:42:00,Meeting,03-03-2016 16:02:00,Raleigh,Cary,17.3
Business,04-03-2016 08:06:00,Meeting,04-03-2016 07:47:00,Cary,Durham,9.9
Business,04-03-2016 10:03:00,Customer Visit,04-03-2016 09:46:00,Durham,Cary,9.9
Business,04-03-2016 12:06:00,Meeting,04-03-2016 11:46:00,Cary,Durham,10.4
Business,04-03-2016 13:25:00,Meeting,04-03-2016 13:03:00,Durham,Cary,10.9
Business,04-03-2016 14:09:00,Customer Visit,04-03-2016 13:40:00,Cary,Raleigh,15.7
